,Symbol,Security,GICS Sector
223,HBI,Hanesbrands,Consumer Discretionary
224,HIG,The Hartford,Financials
225,HAS,Hasbro,Consumer Discretionary
226,HCA,HCA Healthcare,Health Care
227,PEAK,Healthpeak Properties,Real Estate
228,HSIC,Henry Schein,Health Care
229,HSY,The Hershey Company,Consumer Staples
230,HES,Hess Corporation,Energy
231,HPE,Hewlett Packard Enterprise,Information Technology
232,HLT,Hilton Worldwide,Consumer Discretionary
233,HOLX,Hologic,Health Care
234,HD,Home Depot,Consumer Discretionary
235,HON,Honeywell,Industrials
236,HRL,Hormel,Consumer Staples
237,HST,Host Hotels & Resorts,Real Estate
238,HWM,Howmet Aerospace,Industrials
239,HPQ,HP,Information Technology
240,HUM,Humana,Health Care
241,HBAN,Huntington Bancshares,Financials
242,HII,Huntington Ingalls Industries,Industrials
243,IEX,IDEX Corporation,Industrials
244,IDXX,Idexx Laboratories,Health Care
245,INFO,IHS Markit,Industrials
246,ITW,Illinois Tool Works,Industrials
247,ILMN,Illumina,Health Care
248,INCY,Incyte,Health Care
249,IR,Ingersoll Rand,Industrials
250,INTC,Intel,Information Technology
251,ICE,Intercontinental Exchange,Financials
252,IBM,IBM,Information Technology
253,IP,International Paper,Materials
254,IPG,Interpublic Group,Communication Services
255,IFF,International Flavors & Fragrances,Materials
256,INTU,Intuit,Information Technology
257,ISRG,Intuitive Surgical,Health Care
258,IVZ,Invesco,Financials
259,IPGP,IPG Photonics,Information Technology
260,IQV,IQVIA,Health Care
261,IRM,Iron Mountain,Real Estate
262,JKHY,Jack Henry & Associates,Information Technology
263,J,Jacobs Engineering Group,Industrials
264,JBHT,J. B. Hunt,Industrials
265,SJM,JM Smucker,Consumer Staples
266,JNJ,Johnson & Johnson,Health Care
267,JCI,Johnson Controls,Industrials
268,JPM,JPMorgan Chase,Financials
269,JNPR,Juniper Networks,Information Technology
270,KSU,Kansas City Southern,Industrials
271,K,Kellogg's,Consumer Staples
272,KEY,KeyCorp,Financials
273,KEYS,Keysight Technologies,Information Technology
274,KMB,Kimberly-Clark,Consumer Staples
275,KIM,Kimco Realty,Real Estate
276,KMI,Kinder Morgan,Energy
277,KLAC,KLA Corporation,Information Technology
278,KHC,Kraft Heinz,Consumer Staples
279,KR,Kroger,Consumer Staples
280,LHX,L3Harris Technologies,Industrials
281,LH,LabCorp,Health Care
282,LRCX,Lam Research,Information Technology
283,LW,Lamb Weston,Consumer Staples
284,LVS,Las Vegas Sands,Consumer Discretionary
285,LEG,Leggett & Platt,Consumer Discretionary
286,LDOS,Leidos,Industrials
